loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2015-09-14 22:33:42.543,1,BCE1E255-37EA-4CAF-BA8A-00C3BB465111,my_iOS_device_1,1442295222.206247,37.7564697526747,-122.4212240987666,28.94696,0.15,338.90625,4,5,"-9,999",1442295222.539065,18.72431945800781,-38.68607330322266,12.43608093261719,162.4939575195312,148.7781372070312,10,677.7418247916667,0.2642669677734375,-0.5584259033203125,0.825836181640625,677.7335677916667,-0.08287144785275871,0.1169143697511326,0.04691664260781693,677.7126017916667,-2.019439314891831,2.801050775164303,0.577419240387918,-0.08113896101713181,0.1034378185868263,0.05504946410655975,-0.03993427753448486,-0.01210473477840424,-0.02211910486221313,XArbitraryZVertical,0.8255740415706122,0.4618513121785217,0.01177382769702479,0.3240096361300034,0.2798482179641724,-0.5458633899688721,0.7897582650184631,0,0,0,-1,668.574966375,automotive,2,2015-09-14 22:33:33.601,null,0,0,0,0,null,10.0.0.90,100.113.12.223,0,2,0.29,0
2015-09-14 22:33:42.544,2,BCE1E255-37EA-4CAF-BA8A-00C3BB465111,my_iOS_device_1,1442295222.206247,37.7564697526747,-122.4212240987666,28.94696,0.15,338.90625,4,5,"-9,999",1442295222.539065,18.72431945800781,-38.68607330322266,12.43608093261719,162.4939575195312,148.7781372070312,10,677.7615307916667,0.2353973388671875,-0.5479736328125,0.8142547607421875,677.7545637916667,-0.3355268720491211,0.009531986173611609,0.1453800996946626,677.7335677916667,-2.020014648372472,2.804417481547932,0.5795759698091654,-0.1193632036447525,0.1119157150387764,0.04620528966188431,-0.02333389222621918,0.001465588808059692,0.009153446182608604,XArbitraryZVertical,0.825521488990234,0.4618504456749385,0.01365617867248892,0.3240708963008963,0.2767976522445679,-0.5476692318916321,0.789583146572113,0,0,0,-1,668.574966375,automotive,2,2015-09-14 22:33:33.601,null,0,0,0,0,null,10.0.0.90,100.113.12.223,0,2,0.29,0
2015-09-14 22:33:42.558,3,BCE1E255-37EA-4CAF-BA8A-00C3BB465111,my_iOS_device_1,1442295222.206247,37.7564697526747,-122.4212240987666,28.94696,0.15,338.90625,4,5,"-9,999",1442295222.539065,18.72431945800781,-38.68607330322266,12.43608093261719,162.4939575195312,148.7781372070312,10,677.7812137916667,0.229400634765625,-0.5586090087890625,0.753143310546875,677.7755597916668,-0.5107929654966529,-0.06574226203747806,0.1752706208213849,677.7545637916667,-2.020332762255632,2.805487499096489,0.5855272203403376,-0.3720184862613678,0.004533355589956045,0.1446687430143356,-0.02862642891705036,0.01621612533926964,0.04582314565777779,XArbitraryZVertical,0.8251275199808917,0.461040718423678,0.01566158442321875,0.3261299533911446,0.2748727798461914,-0.552638828754425,0.7867879271507263,0,0,0,-1,668.574966375,automotive,2,2015-09-14 22:33:33.601,null,0,0,0,0,null,10.0.0.90,100.113.12.223,0,2,0.29,0
