loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2015-10-13 22:34:18.495,1,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800857.943895,37.75646137077153,-122.4212591351219,14,0,-1,4,5,-9999,1444800858.257198,73.13553619384766,708.8997802734375,-464.4784545898438,7.614093780517578,353.9056701660156,-1,46383.67193945833,-0.039825439453125,-0.7269134521484375,-0.7696533203125,46383.63672566667,-0.2002140539071761,-0.05586726071546425,-0.001666073577953571,46383.63672566667,0.1283722026561052,-0.06831972327883683,0.7871348675500441,-0.1636257469654083,-0.06785007566213608,-0.01254668086767197,-0.026442876085639,-0.02099059149622917,-0.03343994915485382,XArbitraryZVertical,0.3844957723487072,-0.006893952343351432,0.04613332426960606,0.9219474989710059,-0.04818785935640335,-0.7083337306976318,-0.7042309641838074,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:18.503,2,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800857.943895,37.75646137077153,-122.4212591351219,14,0,-1,4,5,-9999,1444800858.257198,73.13553619384766,708.8997802734375,-464.4784545898438,7.614093780517578,353.9056701660156,-1,46383.779517125,-0.07568359375,-0.7290802001953125,-0.7170867919921875,46383.73559045834,0.009367402818244712,-0.001033572819059752,0.06993434390937178,46383.73559045834,0.1290030193173189,-0.07335158354572888,0.7848292299077237,0.04590939357876778,-0.01300416234880686,0.05904459208250046,0.01088052894920111,-0.006613500881940126,-0.01025963202118874,XArbitraryZVertical,0.3835525462153165,-0.009176924144944512,0.04552400046593982,0.9223506891289026,-0.05185037851333618,-0.7067043781280518,-0.7056064605712891,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:18.508,3,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800857.943895,37.75646137077153,-122.4212591351219,14,0,-1,4,5,-9999,1444800858.257198,73.13553619384766,708.8997802734375,-464.4784545898438,7.614093780517578,353.9056701660156,-1,46383.88727166667,-0.04193115234375,-0.723419189453125,-0.7265472412109375,46383.834457,-0.03700009597279788,0.02318468150190282,-0.0247231896636416,46383.834457,0.1306764373778233,-0.07618637394322815,0.7886381703689842,-0.0004341380554251373,0.01119637489318848,-0.03559574857354164,0.002955445554107428,-0.01298749540001154,-0.0033024069853127,XArbitraryZVertical,0.3853774962552003,-0.01002076363397699,0.04563754640624657,0.9215752731243835,-0.05364514142274857,-0.709394097328186,-0.702767550945282,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:18.692,4,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800857.943895,37.75646137077153,-122.4212591351219,14,0,-1,4,5,-9999,1444800858.566752,72.38014984130859,709.1057739257812,-464.8346557617188,7.481189727783203,353.7727661132812,-1,46383.997788875,-0.062225341796875,-0.7287445068359375,-0.7169189453125,46383.93332370833,-0.007217699186332751,0.002687129539889951,0.01954200976289244,46383.93332370833,0.1288530496755723,-0.07591331064144174,0.7906595615743521,0.02931977622210979,-0.009258955717086792,0.008628252893686295,0.003554950468242168,-0.01849173568189144,-0.005588803440332413,XArbitraryZVertical,0.3862914612782399,-0.01017153287010536,0.04478960726195175,0.9212325102513014,-0.05334438011050224,-0.7108173370361328,-0.7013508677482605,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:18.833,5,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800857.943895,37.75646137077153,-122.4212591351219,14,0,-1,4,5,-9999,1444800858.67553,72.65483093261719,708.5564575195312,-464.692138671875,7.482929229736328,353.7745056152344,-1,46384.10674479167,-0.0573883056640625,-0.7236480712890625,-0.7149658203125,46384.03218900001,-0.001225320417545457,0.003720169726731688,0.007371097265121316,46384.03218900001,0.1294432456529961,-0.07777758908546067,0.7923555421576841,0.03529138118028641,-0.008240469731390476,-0.003525714855641127,0.005851997062563896,-0.01151676382869482,-0.02265469543635845,XArbitraryZVertical,0.3871156771126199,-0.0108529880718428,0.04464987545287577,0.9208854726868011,-0.05455804988741875,-0.7120092511177063,-0.7000473141670227,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:18.839,6,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800857.943895,37.75646137077153,-122.4212591351219,14,0,-1,4,5,-9999,1444800858.67553,72.65483093261719,708.5564575195312,-464.692138671875,7.482929229736328,353.7745056152344,-1,46384.21639775,-0.0603485107421875,-0.72857666015625,-0.70709228515625,46384.13105729167,0.008288289944544605,0.004012584814422388,0.01851243168546781,46384.13105729167,0.1299990981612055,-0.07874701988264697,0.7963856667283479,0.0448068305850029,-0.007937268353998661,0.007604910992085934,0.0004450656997505575,-0.01362130884081125,-0.01283309701830149,XArbitraryZVertical,0.388991241762808,-0.01104053681459795,0.04459458336721654,0.9200952361103593,-0.05501049384474754,-0.7148332595825195,-0.6971278190612793,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:18.976,7,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800857.943895,37.75646137077153,-122.4212591351219,14,0,-1,4,5,-9999,1444800858.82631,75.33305358886719,709.7239379882812,-461.9134216308594,7.479846954345703,353.7714233398438,-1,46384.32632329167,-0.059417724609375,-0.7314910888671875,-0.705078125,46384.229918625,-0.02025413903837963,0.004311924120947295,-0.0161259730326478,46384.229918625,0.1297015215574308,-0.08025350706469293,0.79923799055468,0.01626700907945633,-0.007653139997273684,-0.0270177349448204,-0.0005910744075663388,-0.006624721456319094,-0.00720050185918808,XArbitraryZVertical,0.3903319024381049,-0.01168419881096801,0.04407618869961544,0.9195443301042698,-0.05589696392416954,-0.716825008392334,-0.6950089931488037,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:19.146,8,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800858.949586,37.75645428806335,-122.4212609791406,14,0.2328128,97.3828125,4,5,-9999,1444800859.138602,74.02829742431641,708.6939086914062,-462.982177734375,7.478900909423828,353.7704772949219,-1,46384.43582983334,-0.0479583740234375,-0.7360992431640625,-0.6999664306640625,46384.42765058333,-0.02622760936342736,-0.007380950961154609,0.003295661848973057,46384.32878341667,0.1283059162188634,-0.07954043372657398,0.8005506435940429,0.01261099707335234,0.006926898844540119,-0.0146716283634305,-0.004091180395334959,-0.01375146955251694,-0.01096803788095713,XArbitraryZVertical,0.3909103015771277,-0.01157984267141495,0.04353332262321432,0.9193257818564461,-0.05532654374837875,-0.7177396416664124,-0.694110095500946,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:19.214,9,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800858.949586,37.75645428806335,-122.4212609791406,14,0.2328128,97.3828125,4,5,-9999,1444800859.138602,74.02829742431641,708.6939086914062,-462.982177734375,7.478900909423828,353.7704772949219,-1,46384.54342129167,-0.0545654296875,-0.7305145263671875,-0.71484375,46384.52651783334,-0.01424418340639781,-0.01466336496197629,-0.007657387082304834,46384.42765058333,0.126021177489013,-0.07756458981346433,0.8022283157960859,0.01030220743268728,-0.01934582740068436,-0.007596126291900873,0.005903229583054781,-0.01920661143958569,-0.00890299491584301,XArbitraryZVertical,0.3916241380980162,-0.01105686146907964,0.04281876378686216,0.9190619313959221,-0.05386160314083099,-0.7189068198204041,-0.6930165886878967,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
2015-10-13 22:34:19.506,10,2D29A3A2-A889-408C-8DE8-A171CBC55D6F,my_iOS_device_1,1444800858.949586,37.75645428806335,-122.4212609791406,14,0.2328128,97.3828125,4,5,-9999,1444800859.344389,74.92103576660156,709.0372314453125,-462.055908203125,7.478900909423828,353.7704772949219,-1,46384.65201091667,-0.052734375,-0.7362823486328125,-0.7049102783203125,46384.62538454167,-0.02983406211161267,0.002134789929807517,0.0008921589651765448,46384.62538454167,0.1240314655782725,-0.07816885063221912,0.8038378296229738,0.006507886108011007,-0.009724571369588375,-0.01012156717479229,-0.005227794405072927,-0.01351112313568592,-0.01813150383532047,XArbitraryZVertical,0.3923635908368705,-0.01166601467641722,0.04173772225367096,0.9187887021661942,-0.05418993160128593,-0.7200246453285217,-0.6918294429779053,0,0,0,-1,10.0.0.62,0.0.0.0,1,2,0.54,0
